username,title,short_description,budget,category,offers,expiry_date,url,avatar_url_source,avatar_filename_for_web,full_description,requirements
Daniel S,"Kalendarz dla 2-8 osób umożliwiający rezerwację nieruchomości na określonych zasadach. Dodatkowo, prosta strona www.",szczegółowy opis w załączniku,Do negocjacji,Aplikacje webowe,7,Znika za 30 dni,"https://useme.com/pl/jobs/kalendarz-dla-2-8-osob-umozliwiajacy-rezerwacje-nieruchomosci-na-okreslonych-zas,115621/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"szczegółowy opis w załączniku
szczegółowy opis w załączniku",
kpax22,Szkolenie video o UX/UI + Figma,"Zlecę przygotowanie szkolenia video w tematyce: Wprowadzenie do UX/UI i obsługa Figmy Kurs z omówieniem głosowym - nie ma konieczności występowania przed kamerą. Zapewniamy profesjonalny mikrofon.

Czas trwania: 16h - Wprowadzenie do UX/UI (ok...","2900,00 PLN",Projektowanie UX/UI,0,Znika za 30 dni,"https://useme.com/pl/jobs/szkolenie-video-o-uxui-figma,115620/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Zlecę przygotowanie szkolenia video w tematyce: Wprowadzenie do UX/UI i obsługa Figmy Kurs z omówieniem głosowym - nie ma konieczności występowania przed kamerą. Zapewniamy profesjonalny mikrofon.
Czas trwania: 16h - Wprowadzenie do UX/UI (ok 8h). Teoria: różnice między UX/UI, badania w UX, wzorce, prototypy i inne kluczowe informacje - Figma (8h). Obsługa funkcji programu i stworzenie minimum jednej strony internetowej oraz aplikacji mobilnej. Omówienie wszystkich najważniejszych narzędzi na przykładach. Zapoznanie z Responsive Web Design,
Wymagania: - Doświadczenie w UX i UI - Obsługa Figmy - Umiejętność wysławiania się w języku polskim
Mile widziane: - doświadczenie w tworzeniu szkoleń video - doświadczenie w nauczaniu
Przekazanie praw: protokół
Zlecę przygotowanie szkolenia video w tematyce: Wprowadzenie do UX/UI i obsługa Figmy Kurs z omówieniem głosowym - nie ma konieczności występowania przed kamerą. Zapewniamy profesjonalny mikrofon.
Czas trwania: 16h - Wprowadzenie do UX/UI (ok 8h). Teoria: różnice między UX/UI, badania w UX, wzorce, prototypy i inne kluczowe informacje - Figma (8h). Obsługa funkcji programu i stworzenie minimum jednej strony internetowej oraz aplikacji mobilnej. Omówienie wszystkich najważniejszych narzędzi na przykładach. Zapoznanie z Responsive Web Design,
Wymagania: - Doświadczenie w UX i UI - Obsługa Figmy - Umiejętność wysławiania się w języku polskim
Mile widziane: - doświadczenie w tworzeniu szkoleń video - doświadczenie w nauczaniu
Przekazanie praw: protokół",
Kamil AZ,Wystawianie aukcji Allegro,Poszukuję osoby do wystawiania aukcji na Allegro oraz prowadzenia kampanii. Branża GSM,Do negocjacji,Obsługa sklepów internetowych,4,Znika za 30 dni,"https://useme.com/pl/jobs/wystawianie-aukcji-allegro,115619/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Poszukuję osoby do wystawiania aukcji na Allegro oraz prowadzenia kampanii. Branża GSM
Poszukuję osoby do wystawiania aukcji na Allegro oraz prowadzenia kampanii. Branża GSM",
WUDOKA.COM,Identyfikacja wizualna internetowego sklepu zoologicznego + projekt sklepu,"Cześć
Szukam grafika który stworzy identyfikacje wizualną sklepu internetowego, zoologicznego i przerobi domyślny szablon PrestaShop pod projekt - zależy mi na drobnych poprawkach, dobraniu czcionki, zmianie układu karty produktu,...",Do negocjacji,Projektowanie UX/UI,5,Znika za 30 dni,"https://useme.com/pl/jobs/identyfikacja-wizualna-internetowego-sklepu-zoologicznego-projekt-sklepu,115617/",https://useme-prod-public.s3.amazonaws.com/avatars/083/164283_blEH8rk.png,WUDOKA.COM_c4ab69c54bfe3af6d473baf65da5462f.png,"Cześć
Szukam grafika który stworzy identyfikacje wizualną sklepu internetowego, zoologicznego i przerobi domyślny szablon PrestaShop pod projekt - zależy mi na drobnych poprawkach, dobraniu czcionki, zmianie układu karty produktu, kategorii.
Szanujmy swój czas - wystarczy, że podeslesz mi swoje portfolio podobnych realizacji. Bardzo możliwa jest dalsza współpraca w zakresie kolejnych sklepów internetowych.
Cześć
Szukam grafika który stworzy identyfikacje wizualną sklepu internetowego, zoologicznego i przerobi domyślny szablon PrestaShop pod projekt - zależy mi na drobnych poprawkach, dobraniu czcionki, zmianie układu karty produktu, kategorii.
Szanujmy swój czas - wystarczy, że podeslesz mi swoje portfolio podobnych realizacji. Bardzo możliwa jest dalsza współpraca w zakresie kolejnych sklepów internetowych.",
Rafał Piszczatowski,Skaner ciastek,"Potrzebuję stworzyć funkcjonalność na stronie internetowej, która skanuje dowolną domene i pobiera z docelowej strony aktualną wartość dla ""document.cookie"" (lub z innego pola, które przechowuje ciasteczka).
Szukam zatem rozwiązania, które...",Do negocjacji,Aplikacje webowe,5,Znika za 30 dni,"https://useme.com/pl/jobs/skaner-ciastek,115616/",https://useme-prod-public.s3.amazonaws.com/avatars/005/354305_peRX3aV.png,Rafał_Piszczatowski_9ff7fdebcfa0d6590d9cddbf7ff25463.png,"Potrzebuję stworzyć funkcjonalność na stronie internetowej, która skanuje dowolną domene i pobiera z docelowej strony aktualną wartość dla ""document.cookie"" (lub z innego pola, które przechowuje ciasteczka).
Szukam zatem rozwiązania, które skanuje domenę i pokazuje wynik ciasteczek. Przykład samej funkcjonalności: https://cookie-script.com/cookie-scanner.
Nie szukam osoby, która od zera zbuduje całą domene, a zależy mi na wsparciu przy aktualizacji obecnej strony o te rozwiązanie i osoby, która ma doświadczenie przy budowie podobnych rozwiązań/skanowaniu stron trzecich. 
Rozliczenie zatem może być godzinne.
Potrzebuję stworzyć funkcjonalność na stronie internetowej, która skanuje dowolną domene i pobiera z docelowej strony aktualną wartość dla ""document.cookie"" (lub z innego pola, które przechowuje ciasteczka).
Szukam zatem rozwiązania, które skanuje domenę i pokazuje wynik ciasteczek. Przykład samej funkcjonalności: https://cookie-script.com/cookie-scanner.
Nie szukam osoby, która od zera zbuduje całą domene, a zależy mi na wsparciu przy aktualizacji obecnej strony o te rozwiązanie i osoby, która ma doświadczenie przy budowie podobnych rozwiązań/skanowaniu stron trzecich.
Rozliczenie zatem może być godzinne.",
Aleksy,Strona wizytówkowa dla nowej firmy np. WordPress,"Poproszę o wycenę stworzenia wizytówkowej strony internetowej dla nowej firmy. Najlepiej chyba na WordPress.

Wymagane funkcje:
- Strona oparta na WordPress – prosta do zarządzania treścią przez firmę
- Responsywny design (dostosowanie do...",Do negocjacji,Strony internetowe,25,Znika za 30 dni,"https://useme.com/pl/jobs/strona-wizytowkowa-dla-nowej-firmy-np-wordpress,115615/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Poproszę o wycenę stworzenia wizytówkowej strony internetowej dla nowej firmy. Najlepiej chyba na WordPress.
Wymagane funkcje:
- Strona oparta na WordPress – prosta do zarządzania treścią przez firmę
- Responsywny design (dostosowanie do urządzeń mobilnych)
- Formularz kontaktowy z zabezpieczeniem antyspamowym (np. CAPTCHA)
- Integracja z mediami społecznościowymi (linki do profili)
- Możliwość łatwej aktualizacji bloga i treści na podstronach
- Podstawowa optymalizacja SEO (meta tagi, przyjazne URL-e)
Poproszę o wycenę stworzenia wizytówkowej strony internetowej dla nowej firmy. Najlepiej chyba na WordPress.
Wymagane funkcje:
- Strona oparta na WordPress – prosta do zarządzania treścią przez firmę
- Responsywny design (dostosowanie do urządzeń mobilnych)
- Formularz kontaktowy z zabezpieczeniem antyspamowym (np. CAPTCHA)
- Integracja z mediami społecznościowymi (linki do profili)
- Możliwość łatwej aktualizacji bloga i treści na podstronach
- Podstawowa optymalizacja SEO (meta tagi, przyjazne URL-e)",
jmgrouppl,Stworzenie sklepu internetowego (WooCommerce) – mam gotowy szablon i WordPress,"Cześć,

Szukam osoby, która złoży dla mnie sklep internetowy oparty na WooCommerce.

✔️ Posiadam już:

Domenę i serwer (hosting)

Zainstalowany WordPress

Wybrany gotowy szablon (motyw)

Zależy mi na tym, aby ktoś:

Zainstalował i...",Do negocjacji,Sklepy internetowe,13,Znika za 30 dni,"https://useme.com/pl/jobs/stworzenie-sklepu-internetowego-woocommerce-mam-gotowy-szablon-i-wordpress,115613/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Cześć,
Szukam osoby, która złoży dla mnie sklep internetowy oparty na WooCommerce.
✔️ Posiadam już:
Domenę i serwer (hosting)
Zainstalowany WordPress
Wybrany gotowy szablon (motyw)
Zależy mi na tym, aby ktoś:
Zainstalował i skonfigurował szablon
Ustawił strukturę sklepu (kategorie, podstrony, menu)
Wdrożył podstawową konfigurację WooCommerce (waluta, dostawa, płatności)
Dodał przykładowe produkty (około 5–10, treści dostarczę)
Zoptymalizował podstawowe ustawienia (np. SEO, szybkość)
Sklep nie musi być zaawansowany – ważne, żeby był estetyczny, responsywny i gotowy do działania.
📅 Termin: najlepiej w ciągu 7–10 dni
📁 Mile widziane portfolio podobnych realizacji
Współpraca możliwa przez Useme – umowa, faktura, rozliczenie bez problemów.
Z góry dziękuję za oferty!
Cześć,
Szukam osoby, która złoży dla mnie sklep internetowy oparty na WooCommerce.
✔️ Posiadam już:
Domenę i serwer (hosting)
Zainstalowany WordPress
Wybrany gotowy szablon (motyw)
Zależy mi na tym, aby ktoś:
Zainstalował i skonfigurował szablon
Ustawił strukturę sklepu (kategorie, podstrony, menu)
Wdrożył podstawową konfigurację WooCommerce (waluta, dostawa, płatności)
Dodał przykładowe produkty (około 5–10, treści dostarczę)
Zoptymalizował podstawowe ustawienia (np. SEO, szybkość)
Sklep nie musi być zaawansowany – ważne, żeby był estetyczny, responsywny i gotowy do działania.
📅 Termin: najlepiej w ciągu 7–10 dni
📁 Mile widziane portfolio podobnych realizacji
Współpraca możliwa przez Useme – umowa, faktura, rozliczenie bez problemów.
Z góry dziękuję za oferty!",
womai.krakow@gmail.com,Przebudowa lub stworzenie nowej strony dla Centrum WOMAI,"Szukamy osoby/firmy która podejmie się przebudowy lub stworzenia nowej strony dla naszego Centrum.

Stronę, której teraz używamy, znajdą Państwo pod linkiem: https://womai.pl/

Ze względu na zmiany w wizerunku brandingowym oraz chęć odświeżenia...",Do negocjacji,Strony internetowe,8,Znika za 30 dni,"https://useme.com/pl/jobs/przebudowa-lub-stworzenie-nowej-strony-dla-centrum-womai,115612/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Szukamy osoby/firmy która podejmie się przebudowy lub stworzenia nowej strony dla naszego Centrum.
Stronę, której teraz używamy, znajdą Państwo pod linkiem: https://womai.pl/
Ze względu na zmiany w wizerunku brandingowym oraz chęć odświeżenia wizerunku strony, chcielibyśmy wprowadzić w niej pewne zmiany graficzne. Aby pomóc w zrozumieniu naszej wizji na stronę, załączamy slajdową prezentację z tym, jak chcielibyśmy, aby wyglądała nasza strona. Oczywiście jest to tylko pomocniczo ;). 
Materiały dotyczące naszej firmy i naszego wizerunku są w załącznikach. Zasadniczo zależy nam na dość prostej i przejrzystej identyfikacji wizualnej. W załączniku prezentacja wraz z komentarzami tłumaczącymi koncepcję :). Przesyłamy też link do prezentacji w canvie, gdzie widać animacje ze strony startowej.
https://www.canva.com/design/DAGgBZXWbrw/QQb4UtVQNmi9c8kjsVPIJA/edit?utm_content=DAGgBZXWbrw&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton
Ważne jest dla nas aby strona funkcjonowała też dobrze na urządzeniach mobilnych. Ze względu na to, że częścią naszej działalności jest edukacja dot. osób niewidomych i słabowidzących, spełnianie standardów dostępności cyfrowej również jest aspektem, nad którym chcielibyśmy popracować. Zatem możliwość zmiany kontrastu na stronie i możliwość dopasowania wielkości czcionki oraz możliwość odczytywania przez program NVDA (Poprawna struktura nagłówków, opisy alternatywne do zdjęć i grafik, przycisk wstecz, linki zamiast przycisków aktywnych itp.) - innymi słowy zgodność z normą WCAG 2.1 lub 2.2. Ważne jest też, aby strona była zrobiona tak, aby ewentualne przyszłe updaty na stronie również mogły być dostępne (np. przy wrzucaniu zdjęć możemy dodać opisy alternatywne itd.). 
Interesuje mnie oczywiście wstępna wycena takiej strony i informacja, czy strona wymaga zbudowania od nowa, czy można wykorzystać starą.
Szukamy osoby/firmy która podejmie się przebudowy lub stworzenia nowej strony dla naszego Centrum.
Stronę, której teraz używamy, znajdą Państwo pod linkiem: https://womai.pl/
Ze względu na zmiany w wizerunku brandingowym oraz chęć odświeżenia wizerunku strony, chcielibyśmy wprowadzić w niej pewne zmiany graficzne. Aby pomóc w zrozumieniu naszej wizji na stronę, załączamy slajdową prezentację z tym, jak chcielibyśmy, aby wyglądała nasza strona. Oczywiście jest to tylko pomocniczo ;).
Materiały dotyczące naszej firmy i naszego wizerunku są w załącznikach. Zasadniczo zależy nam na dość prostej i przejrzystej identyfikacji wizualnej. W załączniku prezentacja wraz z komentarzami tłumaczącymi koncepcję :). Przesyłamy też link do prezentacji w canvie, gdzie widać animacje ze strony startowej.
https://www.canva.com/design/DAGgBZXWbrw/QQb4UtVQNmi9c8kjsVPIJA/edit?utm_content=DAGgBZXWbrw&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton
Ważne jest dla nas aby strona funkcjonowała też dobrze na urządzeniach mobilnych. Ze względu na to, że częścią naszej działalności jest edukacja dot. osób niewidomych i słabowidzących, spełnianie standardów dostępności cyfrowej również jest aspektem, nad którym chcielibyśmy popracować. Zatem możliwość zmiany kontrastu na stronie i możliwość dopasowania wielkości czcionki oraz możliwość odczytywania przez program NVDA (Poprawna struktura nagłówków, opisy alternatywne do zdjęć i grafik, przycisk wstecz, linki zamiast przycisków aktywnych itp.) - innymi słowy zgodność z normą WCAG 2.1 lub 2.2. Ważne jest też, aby strona była zrobiona tak, aby ewentualne przyszłe updaty na stronie również mogły być dostępne (np. przy wrzucaniu zdjęć możemy dodać opisy alternatywne itd.).
Interesuje mnie oczywiście wstępna wycena takiej strony i informacja, czy strona wymaga zbudowania od nowa, czy można wykorzystać starą.",
Kinga89,Specjalista ds. Aktywnego Pozyskiwania Klientów,"Opis stanowiska:
Poszukujemy energicznej, zmotywowanej osoby do aktywnego pozyskiwania nowych klientów. Twoim zadaniem będzie inicjowanie kontaktów, prezentacja oferty oraz budowanie relacji biznesowych – wszystko w trybie zdalnym. Jeśli masz...",Do negocjacji,Kampanie reklamowe,1,Znika za 30 dni,"https://useme.com/pl/jobs/specjalista-ds-aktywnego-pozyskiwania-klientow,115611/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Opis stanowiska:
Poszukujemy energicznej, zmotywowanej osoby do aktywnego pozyskiwania nowych klientów. Twoim zadaniem będzie inicjowanie kontaktów, prezentacja oferty oraz budowanie relacji biznesowych – wszystko w trybie zdalnym. Jeśli masz smykałkę do kontaktów i potrafisz działać samodzielnie, to idealna oferta dla Ciebie!
Do Twoich obowiązków będzie należeć:
    • Aktywne poszukiwanie i kontaktowanie potencjalnych klientów
    • Przedstawianie oferty i dopasowywanie jej do potrzeb klientów,
    • Budowanie relacji,
    • Współpraca z zespołem,
    • Raportowanie wyników pracy.
Wymagania:
    • Samodzielność, systematyczność i determinacja w działaniu,
    • Dostęp do własnego komputera/smartfona i internetu,
Oferujemy:
    • Elastyczne godziny pracy – pracujesz kiedy chcesz,
    • Współpracę w zgranym zespole i wsparcie merytoryczne,
    • Szkolenie wstępne i dostęp do narzędzi sprzedażowych,
    • Wynagrodzenie zależne od efektów – nie ma górnego limitu,
    • Możliwość rozwoju i awansu.
Dołącz do nas i pracuj z dowolnego miejsca na świecie!
Informacja od Useme:
Rozliczenie realizacji tego zlecenia będzie możliwe dla osób posiadających:
- ważną legitymację studencką lub szkolną (do 26. r.ż.);
- zatrudnienie na podstawie umowy o pracę lub zlecenia (z co najmniej minimalnym wynagrodzeniem);
- własną działalność gospodarczą.
Opis stanowiska:
Poszukujemy energicznej, zmotywowanej osoby do aktywnego pozyskiwania nowych klientów. Twoim zadaniem będzie inicjowanie kontaktów, prezentacja oferty oraz budowanie relacji biznesowych – wszystko w trybie zdalnym. Jeśli masz smykałkę do kontaktów i potrafisz działać samodzielnie, to idealna oferta dla Ciebie!
Do Twoich obowiązków będzie należeć:
• Aktywne poszukiwanie i kontaktowanie potencjalnych klientów
• Przedstawianie oferty i dopasowywanie jej do potrzeb klientów,
• Budowanie relacji,
• Współpraca z zespołem,
• Raportowanie wyników pracy.
Wymagania:
• Samodzielność, systematyczność i determinacja w działaniu,
• Dostęp do własnego komputera/smartfona i internetu,
Oferujemy:
• Elastyczne godziny pracy – pracujesz kiedy chcesz,
• Współpracę w zgranym zespole i wsparcie merytoryczne,
• Szkolenie wstępne i dostęp do narzędzi sprzedażowych,
• Wynagrodzenie zależne od efektów – nie ma górnego limitu,
• Możliwość rozwoju i awansu.
Dołącz do nas i pracuj z dowolnego miejsca na świecie!
Informacja od Useme:
Rozliczenie realizacji tego zlecenia będzie możliwe dla osób posiadających:
- ważną legitymację studencką lub szkolną (do 26. r.ż.);
- zatrudnienie na podstawie umowy o pracę lub zlecenia (z co najmniej minimalnym wynagrodzeniem);
- własną działalność gospodarczą.",
SYHI digital,Doświadczony WordPress & WooCommerce Developer (Bricks Builder) do projektu e-commerce,"Obecnie poszukujemy utalentowanego i doświadczonego Freelancera – WordPress & WooCommerce Developera, który dołączy do nas przy realizacji ciekawego projektu e-commerce. Docelowo, jeśli współpraca okaże się owocna dla obu stron, chętnie nawiążemy...",Do negocjacji,Sklepy internetowe,4,Znika za 30 dni,"https://useme.com/pl/jobs/doswiadczony-wordpress-woocommerce-developer-bricks-builder-do-projektu-e-commer,115610/",https://useme-prod-public.s3.amazonaws.com/avatars/090/330990_RqSctbl.png,SYHI_digital_a2766def5a105c44a70162df583016b5.png,"Obecnie poszukujemy utalentowanego i doświadczonego Freelancera – WordPress & WooCommerce Developera, który dołączy do nas przy realizacji ciekawego projektu e-commerce. Docelowo, jeśli współpraca okaże się owocna dla obu stron, chętnie nawiążemy współpracę długoterminową przy kolejnych projektach.
Czego oczekujemy (must-have):
Biegłej znajomości WordPressa i WooCommerce: 
Musisz swobodnie poruszać się w ekosystemie WordPressa, tworzyć i modyfikować motywy oraz wtyczki, a przede wszystkim – mieć solidne doświadczenie w budowie i konfiguracji sklepów na WooCommerce.
Umiejętności pracy z Figmą i dbałości o ""pixel perfect"": 
Projekty otrzymasz w formie plików Figmy. Oczekujemy precyzyjnego odwzorowania designu, z dbałością o każdy detal.
Doświadczenia z Bricks Builder: 
Pracujemy w oparciu o Bricks Builder, więc praktyczna znajomość tego narzędzia jest kluczowa.
Dobrej znajomości HTML5, CSS3 (Sass/SCSS mile widziane) oraz podstaw JavaScript (jQuery).
Znajomości PHP na poziomie pozwalającym na customizację WordPressa i WooCommerce.
Samodzielności, terminowości i świetnej organizacji pracy.
Umiejętności rozwiązywania problemów i proaktywnego podejścia
Jak aplikować:
Jeśli czujesz, że to ogłoszenie jest o Tobie i chcesz podjąć wyzwanie, prześlij nam:
Portfolio zrealizowanych projektów (szczególnie e-commerce i te oparte o WordPress/Bricks, jeśli posiadasz).
Krótki opis swojego doświadczenia z WooCommerce, Bricks Builder oraz pracą na podstawie plików Figmy.
Oczekiwaną stawkę (godzinową lub za projekt – jeśli wolisz taką formę, możemy omówić szczegóły projektu).
Informację o Twojej dostępności.
Obecnie poszukujemy utalentowanego i doświadczonego Freelancera – WordPress & WooCommerce Developera, który dołączy do nas przy realizacji ciekawego projektu e-commerce. Docelowo, jeśli współpraca okaże się owocna dla obu stron, chętnie nawiążemy współpracę długoterminową przy kolejnych projektach.
Czego oczekujemy (must-have):
Biegłej znajomości WordPressa i WooCommerce:
Musisz swobodnie poruszać się w ekosystemie WordPressa, tworzyć i modyfikować motywy oraz wtyczki, a przede wszystkim – mieć solidne doświadczenie w budowie i konfiguracji sklepów na WooCommerce.
Umiejętności pracy z Figmą i dbałości o ""pixel perfect"":
Projekty otrzymasz w formie plików Figmy. Oczekujemy precyzyjnego odwzorowania designu, z dbałością o każdy detal.
Doświadczenia z Bricks Builder:
Pracujemy w oparciu o Bricks Builder, więc praktyczna znajomość tego narzędzia jest kluczowa.
Dobrej znajomości HTML5, CSS3 (Sass/SCSS mile widziane) oraz podstaw JavaScript (jQuery).
Znajomości PHP na poziomie pozwalającym na customizację WordPressa i WooCommerce.
Samodzielności, terminowości i świetnej organizacji pracy.
Umiejętności rozwiązywania problemów i proaktywnego podejścia
Jeśli czujesz, że to ogłoszenie jest o Tobie i chcesz podjąć wyzwanie, prześlij nam:
Portfolio zrealizowanych projektów (szczególnie e-commerce i te oparte o WordPress/Bricks, jeśli posiadasz).
Krótki opis swojego doświadczenia z WooCommerce, Bricks Builder oraz pracą na podstawie plików Figmy.
Oczekiwaną stawkę (godzinową lub za projekt – jeśli wolisz taką formę, możemy omówić szczegóły projektu).
Informację o Twojej dostępności.",
